V240001,version,V243001,V243002,V243050,V243051,V243052,V243053,V243054,V243060,V243061,V243062,V243063,V245001,V245010
140116,ANES2024TimeSeries_20250808,NY,NA,20240819,130258,20240819,140001,.,20250123,144332,20250123,154306,-1. Inapplicable,-1. Inapplicable
140117,ANES2024TimeSeries_20250808,PA,NA,20240906,132154,20240916,095912,.,20241125,111912,20241207,181102,-1. Inapplicable,-1. Inapplicable
140119,ANES2024TimeSeries_20250808,FL,NA,20240826,111832,20240826,142700,.,20241114,095320,20241114,095344,-1. Inapplicable,-1. Inapplicable
140120,ANES2024TimeSeries_20250808,CO,NA,20240809,172206,20240809,184135,.,20241116,215246,20241116,215309,-1. Inapplicable,-1. Inapplicable
140122,ANES2024TimeSeries_20250808,VA,NA,20240819,184858,20240912,194237,.,20241119,232302,20241119,232313,-1. Inapplicable,-1. Inapplicable
140123,ANES2024TimeSeries_20250808,TN,NA,20240812,090724,20240812,094900,.,20241120,163358,20241120,172820,-1. Inapplicable,-1. Inapplicable
140124,ANES2024TimeSeries_20250808,OR,NA,20241103,161715,20241103,165730,.,20241124,232858,20241126,100435,-1. Inapplicable,-1. Inapplicable
140125,ANES2024TimeSeries_20250808,WI,NA,20241007,172212,20241007,183142,.,20241208,161939,20241208,171737,-1. Inapplicable,-1. Inapplicable
140126,ANES2024TimeSeries_20250808,AZ,NA,20240814,015146,20240814,031241,.,20241126,005341,20241126,015913,-1. Inapplicable,-1. Inapplicable
140127,ANES2024TimeSeries_20250808,CA,NA,20240817,012057,20240817,014650,.,20241212,151151,.,-1,-1. Inapplicable,-1. Inapplicable
140128,ANES2024TimeSeries_20250808,PA,NA,20240812,111732,20240812,124733,.,20241115,104616,20241115,104642,-1. Inapplicable,-1. Inapplicable
140129,ANES2024TimeSeries_20250808,MO,NA,20240808,223418,20240908,160834,.,20241115,163438,20241115,163447,-1. Inapplicable,-1. Inapplicable
140131,ANES2024TimeSeries_20250808,MD,NA,20240815,115621,20240818,114253,.,20241127,085026,20241127,102822,-1. Inapplicable,-1. Inapplicable
140132,ANES2024TimeSeries_20250808,AZ,NA,20240819,004700,20240819,012504,.,20241113,185347,20241113,185356,-1. Inapplicable,-1. Inapplicable
